X,Y,Z
0,0,0
-51,17,91
44,-11,-55
-37,-71,-84
-39,1,57
-37,25,-38
16,-53,20
-52,97,-55
-86,28,86
-15,-16,-72
80,42,37
38,15,-5
-29,-2,-29
92,-99,-57
97,47,-3
88,69,10
41,-2,22
64,8,56
2,-80,-54
-22,-91,-67
-61,99,89
-56,51,-83
-4,31,58
-92,86,6
40,34,18
-78,-47,-81
98,68,8
-51,-59,9
-17,-7,70
-51,-67,85
-55,-82,20
47,-39,71
94,83,50
-65,87,-1
-90,89,52
26,74,-61
55,-13,61
44,13,73
18,-93,66
-54,-47,51
50,88,3
-84,-66,-61
82,-81,-61
-79,-10,55
59,-59,-73
64,-26,1
43,-14,97
-11,-20,-66
91,42,12
68,-63,5
